date, - values, - uncertainties
1985-06-30,0.7134973406791687,0.17711493372917175
1986-06-30,0.9804454445838928,0.15505580604076385
1987-06-30,1.364871621131897,0.12047731876373291
1988-06-30,1.0846251249313354,0.12679673731327057
1989-06-30,1.0568666458129883,0.18602995574474335
1990-06-30,1.0509462356567383,0.12717142701148987
1991-06-30,1.1635949611663818,0.11624563485383987
1992-06-30,1.4694689512252808,0.10401357710361481
1993-06-30,1.443016529083252,0.17351992428302765
1994-06-30,1.314469814300537,0.13170985877513885
1995-06-30,1.4997131824493408,0.07199595123529434
1996-06-30,1.260212779045105,0.13537754118442535
1997-06-30,1.6227473020553589,0.0961906760931015
1998-06-30,1.4566128253936768,0.09126520901918411
1999-06-30,1.320740818977356,0.08248371630907059
2000-06-30,1.2289643287658691,0.08355464786291122
2001-06-30,1.3667651414871216,0.15196532011032104
2002-06-30,1.3631951808929443,0.0911128968000412
2003-06-30,1.4974135160446167,0.06321453303098679
2004-06-30,1.6432936191558838,0.0736318901181221
2005-06-30,1.7387925386428833,0.07129783928394318
2006-06-30,1.8166831731796265,0.07214153558015823
2007-06-30,1.8083220720291138,0.06676824390888214
2008-06-30,1.6178911924362183,0.09591218084096909
2009-06-30,1.8015360832214355,0.09457647800445557
2010-06-30,2.0294125080108643,0.07045071572065353
2011-06-30,1.7635687589645386,0.11142855137586594
2012-06-30,2.039121389389038,0.08205903321504593
2013-06-30,2.1111247539520264,0.07595562189817429
2014-06-30,2.2495784759521484,0.08481302112340927
2015-06-30,2.270007610321045,0.0766872689127922
2016-06-30,2.528911590576172,0.0901268795132637
2017-06-30,2.3405086994171143,0.11950623244047165
2018-06-30,2.408614158630371,0.14724166691303253
2019-06-30,2.6926136016845703,0.15403395891189575
2020-06-30,2.589651107788086,0.10813819617033005
2021-06-30,2.538975954055786,0.10552691668272018
2022-06-30,2.489405632019043,0.12947078049182892
2023-06-30,2.0477750301361084,0.23738232254981995
