STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,POLLUTANT,Pollutants,SOURCE,Source,VESSEL,Vessel,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,ITA,Italy,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,1147051.42814218,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,JPN,Japan,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,5435802.6313697,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,KOR,Korea,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,2891884.6759925,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,LVA,Latvia,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,36515.4809912976,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,LTU,Lithuania,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,22535.8102859697,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,LUX,Luxembourg,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,97051.4729824702,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,MEX,Mexico,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,111508.520018386,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,NLD,Netherlands,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,1445719.58589842,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,NZL,New Zealand,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,38637.0509435866,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,NOR,Norway,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,2274755.15868178,,,,0,Units,0,Zero
